Player Name,Player Team,Position,Average ADP,ADP Count,Min ADP,Max ADP,Draft Position,Round,Pick and Round,User Pick
Drew Lock,NYG,QB,,0.0,,,434,37,37.2,
Durham Smythe,MIA,TE,,0.0,,,435,37,37.3,
Erick All,CIN,TE,,0.0,,,436,37,37.4,
Gerald Everett,CHI,TE,,0.0,,,437,37,37.5,
Isaiah Davis,NYJ,RB,,0.0,,,438,37,37.6,
Isaiah Spiller,LAC,RB,,0.0,,,439,37,37.7,
Israel Abanikanda,NYJ,RB,,0.0,,,440,37,37.8,
Ja'lynn Polk,NE,WR,,0.0,,,441,37,37.9,
Jacob Cowing,SF,WR,,0.0,,,442,37,37.10,
Jake Bobo,SEA,WR,,0.0,,,443,37,37.11,
Jamari Thrash,CLE,WR,,0.0,,,444,37,37.12,x
Jamison Crowder,WSH,WR,,0.0,,,445,38,38.1,x
Jared Wiley,KC,TE,,0.0,,,446,38,38.2,
Jaret Patterson,LAC,RB,,0.0,,,447,38,38.3,
Jarrett Stidham,DEN,QB,,0.0,,,448,38,38.4,
Jase McClellan,ATL,RB,,0.0,,,449,38,38.5,
Jawhar Jordan,HOU,RB,,0.0,,,450,38,38.6,
Jeff Wilson,MIA,RB,,0.0,,,451,38,38.7,
Jeremy Ruckert,NYJ,TE,,0.0,,,452,38,38.8,
John Metchie,HOU,WR,,0.0,,,453,38,38.9,
Josh Whyle,TEN,TE,,0.0,,,454,38,38.10,
Joshua Kelley,NYG,RB,,0.0,,,455,38,38.11,
Justin Watson,KC,WR,,0.0,,,456,38,38.12,
Justyn Ross,KC,WR,,0.0,,,457,39,39.1,
KaVontae Turpin,DAL,WR,,0.0,,,458,39,39.2,
Kadarius Toney,KC,WR,,0.0,,,459,39,39.3,
Kalif Raymond,DET,WR,,0.0,,,460,39,39.4,
Keaontay Ingram,KC,RB,,0.0,,,461,39,39.5,
Kenny McIntosh,SEA,RB,,0.0,,,462,39,39.6,
Kenny Pickett,PHI,QB,,0.0,,,463,39,39.7,
Kevin Harris,NE,RB,,0.0,,,464,39,39.8,
Los Angeles Rams D/ST,LAR,DST,,0.0,,,465,39,39.9,
Lucas Krull,DEN,TE,,0.0,,,466,39,39.10,
Luke Schoonmaker,DAL,TE,,0.0,,,467,39,39.11,
Mac Jones,JAX,QB,,0.0,,,468,39,39.12,x
Mack Hollins,BUF,WR,,0.0,,,469,40,40.1,x
Marquez Valdes-Scantling,BUF,WR,,0.0,,,470,40,40.2,
Martavis Bryant,WSH,WR,,0.0,,,471,40,40.3,
Marvin Mims,DEN,WR,,0.0,,,472,40,40.4,
Matt Breida,SF,RB,,0.0,,,473,40,40.5,
Mecole Hardman,KC,WR,,0.0,,,474,40,40.6,
Mo Alie-Cox,IND,TE,,0.0,,,475,40,40.7,
Nelson Agholor,BAL,WR,,0.0,,,476,40,40.8,
Nick Mullens,MIN,QB,,0.0,,,477,40,40.9,
Noah Brown,HOU,WR,,0.0,,,478,40,40.10,
Noah Gray,KC,TE,,0.0,,,479,40,40.11,
Parker Washington,JAX,WR,,0.0,,,480,40,40.12,
Parris Campbell,PHI,WR,,0.0,,,481,41,41.1,
Pierre Strong,CLE,RB,,0.0,,,482,41,41.2,
Ray-Ray McCloud,ATL,WR,,0.0,,,483,41,41.3,
Robert Woods,HOU,WR,,0.0,,,484,41,41.4,
Rondale Moore,ATL,WR,,0.0,,,485,41,41.5,
Ronnie Rivers,LAR,RB,,0.0,,,486,41,41.6,
Ryan Flournoy,DAL,WR,,0.0,,,487,41,41.7,
Skyy Moore,KC,WR,,0.0,,,488,41,41.8,
Spencer Rattler,NO,QB,,0.0,,,489,41,41.9,
Tanner McLachlan,CIN,TE,,0.0,,,490,41,41.10,
Tennessee Titans D/ST,TEN,DST,,0.0,,,491,41,41.11,
Terrace Marshall,CAR,WR,,0.0,,,492,41,41.12,x
Trent Sherfield,MIN,WR,,0.0,,,493,42,42.1,x
Trenton Irwin,CIN,WR,,0.0,,,494,42,42.2,
Trey Lance,DAL,QB,,0.0,,,495,42,42.3,
Trey Palmer,TB,WR,,0.0,,,496,42,42.4,
Tutu Atwell,LAR,WR,,0.0,,,497,42,42.5,
Ty Johnson,BUF,RB,,0.0,,,498,42,42.6,
Tyler Higbee,LAR,TE,,0.0,,,499,42,42.7,
Tyler Scott,CHI,WR,,0.0,,,500,42,42.8,
Tyrod Taylor,NYJ,QB,,0.0,,,501,42,42.9,
Washington Commanders D/ST,WSH,DST,,0.0,,,502,42,42.10,
Will Mallory,IND,TE,,0.0,,,503,42,42.11,
Xavier Gipson,NYJ,WR,,0.0,,,504,42,42.12,
Xavier Hutchinson,HOU,WR,,0.0,,,505,43,43.1,
Zach Wilson,DEN,QB,,0.0,,,506,43,43.2,
